F1,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.14983,0.14237,0.1728,0.13495,0.15355,0.16393,0.159,6.2765,1.2417,11.378,0.29663
0.13621,0.12966,0.15031,0.13021,0.14938,0.14492,0.15901,6.3115,1.2599,11.29,0.29103
0.15095,0.14436,0.15835,0.14885,0.15528,0.16704,0.17161,6.3103,1.2239,11.208,0.29126
0.14933,0.14067,0.15739,0.13704,0.14818,0.16487,0.16317,6.3021,1.2173,11.273,0.28012
0.12677,0.12611,0.15466,0.14309,0.16079,0.16751,0.16528,6.2479,1.2109,11.343,0.28264
0.13409,0.1346,0.15149,0.13774,0.15481,0.1509,0.1547,6.331,1.2148,11.274,0.27627
0.13684,0.13154,0.16518,0.13628,0.14133,0.13856,0.15211,6.3019,1.2146,11.593,0.29482
0.13688,0.13062,0.16786,0.1343,0.14757,0.14286,0.15486,6.2781,1.2289,11.329,0.2809
0.15253,0.14236,0.16366,0.15264,0.15079,0.14914,0.1554,6.3722,1.2194,11.271,0.28647
0.14843,0.14014,0.1611,0.14666,0.15023,0.15183,0.15383,6.2885,1.268,11.312,0.295
0.12984,0.12966,0.1558,0.15155,0.16251,0.17066,0.19039,6.3476,1.2174,11.309,0.34898
,,,,,,,,,,
0.1399505,0.1354595,0.159812,0.1419755,0.1537105,0.1555085,0.1654515,6.31845,1.22482,11.3327,0.2991025
F10,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.1522,0.15065,0.16926,0.14011,0.15744,0.14783,0.16756,6.2957,1.2392,11.136,0.31654
0.1304,0.12948,0.15378,0.14144,0.16516,0.18095,0.17585,6.252,1.2262,11.157,0.29431
0.15693,0.15072,0.16834,0.15092,0.1655,0.15828,0.17428,6.2592,1.2225,11.32,0.29559
0.14001,0.14132,0.16559,0.16633,0.15814,0.14286,0.15473,6.2796,1.2412,11.755,0.28927
0.15851,0.14969,0.16513,0.15042,0.16187,0.15728,0.17682,6.349,1.2411,11.201,0.33118
0.13381,0.13767,0.16309,0.15525,0.17632,0.17795,0.17005,6.2722,1.2294,11.232,0.30855
0.13197,0.13904,0.16883,0.14405,0.15712,0.15487,0.16759,6.3264,1.2297,11.289,0.28009
0.15101,0.14836,0.1656,0.15037,0.15881,0.16156,0.16767,6.3388,1.261,11.253,0.27757
0.14831,0.15703,0.17273,0.14564,0.15306,0.15158,0.16624,6.3504,1.2465,11.474,0.24369
0.15738,0.15406,0.1744,0.15023,0.16812,0.16642,0.17773,6.2834,1.2421,11.388,0.31104
0.16759,0.15671,0.17607,0.16303,0.16511,0.15764,0.17584,6.3198,1.2335,11.223,0.28533
0.14397,0.13625,0.15747,0.14392,0.16145,0.16048,0.16587,6.4565,1.2264,11.304,0.27279
0.14473,0.13967,0.16317,0.14251,0.16539,0.15735,0.16825,6.3037,1.2338,11.207,0.2911
0.14971,0.14946,0.16584,0.14699,0.16044,0.15376,0.16516,6.315,1.2162,11.235,0.28505
0.13199,0.13329,0.16146,0.1433,0.15019,0.14742,0.15563,6.294,1.233,11.451,0.29127
0.13192,0.12946,0.15111,0.14371,0.16309,0.17603,0.16891,6.3491,1.2679,11.182,0.27408
0.14822,0.14158,0.15907,0.15124,0.16673,0.16074,0.16749,6.3064,1.2297,11.181,0.27551
0.14716,0.14874,0.16402,0.15512,0.16084,0.14601,0.16042,6.3032,1.3181,11.13,0.32858
0.14335,0.13724,0.15749,0.13966,0.1572,0.15302,0.16952,6.4633,1.2419,11.219,0.28955
0.15988,0.1524,0.17503,0.15454,0.16744,0.16138,0.16917,6.3295,1.2296,11.262,0.27675
,,,,,,,,,,
0.1464525,0.144141,0.164874,0.148939,0.161971,0.1586705,0.168239,6.32236,1.24045,11.27995,0.290892
F11,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.17792,0.16932,0.19111,0.18723,0.20337,0.20994,0.21873,6.3127,1.3902,11.804,0.32657
0.1794,0.18172,0.19297,0.19462,0.20152,0.21207,0.22002,6.2687,1.3191,11.822,0.30261
0.16592,0.17137,0.19698,0.1902,0.19881,0.19954,0.21896,6.3364,1.3603,11.676,0.36201
0.16802,0.1656,0.20489,0.19925,0.22523,0.21754,0.21042,6.6972,1.3019,12.722,0.30758
0.18333,0.17804,0.19983,0.1878,0.20203,0.21494,0.22331,6.2777,1.3154,11.811,0.30868
0.17028,0.16859,0.19336,0.18341,0.2006,0.20157,0.22271,6.355,1.3342,11.767,0.34974
0.16501,0.17262,0.20976,0.19773,0.2317,0.18765,0.19748,6.3354,1.3157,11.828,0.27507
0.17326,0.17556,0.20045,0.18903,0.19991,0.20474,0.22604,6.3191,1.3232,11.856,0.29587
0.20505,0.19136,0.22491,0.20284,0.2103,0.22965,0.21551,6.2967,1.3724,11.83,0.326
0.17554,0.16802,0.19243,0.18372,0.20965,0.22135,0.22055,6.3059,1.3306,11.809,0.27284
0.17301,0.18329,0.19146,0.18414,0.20204,0.20904,0.22786,6.3506,1.3094,11.863,0.30341
0.17395,0.17341,0.19856,0.18548,0.21001,0.21601,0.22206,6.2627,1.3104,11.849,0.26513
0.17083,0.18428,0.20632,0.17337,0.20038,0.18993,0.2079,6.3341,1.3124,12.212,0.32007
0.18624,0.18854,0.20277,0.18963,0.2091,0.21918,0.21103,6.2936,1.3054,11.822,0.2605
0.18519,0.18567,0.21601,0.1852,0.20147,0.20949,0.21711,6.2561,1.3115,11.917,0.3261
0.16943,0.1714,0.19181,0.18562,0.19781,0.20056,0.225,6.3402,1.3075,11.828,0.31748
0.1722,0.17055,0.19271,0.18832,0.21958,0.21856,0.21598,6.3248,1.3089,11.8,0.30399
0.19071,0.17921,0.21435,0.19134,0.20282,0.21745,0.21884,6.4735,1.3027,11.897,0.32668
0.17445,0.17197,0.19757,0.18086,0.20686,0.22169,0.22208,6.3461,1.3224,11.856,0.3225
0.1649,0.16668,0.19893,0.18439,0.2029,0.20586,0.22023,6.3542,1.3431,12.32,0.32324
,,,,,,,,,,
0.176232,0.17586,0.200859,0.188209,0.2068045,0.210338,0.218091,6.342035,1.324835,11.91445,0.3098035
F12,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.76858,0.8577,0.91938,0.84324,0.85996,0.83406,0.8701,6.8,2.2915,19.017,0.8136
0.75003,0.81138,0.86663,0.8464,0.85454,0.85665,0.84846,6.9045,2.2128,18.984,0.73734
